ProductKey,SKU,Product,Model,Subcategory,Category,StandardCost,ListPrice
373,BK-R89B-44,"Road-250 Black, 44",Road-250,Road Bikes,Bikes,1320.68,2181.56
362,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Mountain Bikes,Bikes,1105.81,2049.1
358,BK-M68B-38,"Mountain-200 Black, 38",Mountain-200,Mountain Bikes,Bikes,1105.81,2049.1
354,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Mountain Bikes,Bikes,1117.86,2071.42
381,BK-R64Y-38,"Road-550-W Yellow, 38",Road-550-W,Road Bikes,Bikes,605.65,1000.44
377,BK-R89B-52,"Road-250 Black, 52",Road-250,Road Bikes,Bikes,1320.68,2181.56
325,BK-R50R-62,"Road-650 Red, 62",Road-650,Road Bikes,Bikes,486.71,782.99
379,BK-R89B-58,"Road-250 Black, 58",Road-250,Road Bikes,Bikes,1320.68,2181.56
369,BK-R89R-48,"Road-250 Red, 48",Road-250,Road Bikes,Bikes,1518.79,2443.35
368,BK-R89R-44,"Road-250 Red, 44",Road-250,Road Bikes,Bikes,1518.79,2443.35
370,BK-R89R-52,"Road-250 Red, 52",Road-250,Road Bikes,Bikes,1518.79,2443.35
329,BK-R50R-48,"Road-650 Red, 48",Road-650,Road Bikes,Bikes,486.71,782.99
375,BK-R89B-48,"Road-250 Black, 48",Road-250,Road Bikes,Bikes,1320.68,2181.56
337,BK-R50B-62,"Road-650 Black, 62",Road-650,Road Bikes,Bikes,486.71,782.99
352,BK-M68S-38,"Mountain-200 Silver, 38",Mountain-200,Mountain Bikes,Bikes,1117.86,2071.42
387,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,Road Bikes,Bikes,605.65,1000.44
356,BK-M68S-46,"Mountain-200 Silver, 46",Mountain-200,Mountain Bikes,Bikes,1117.86,2071.42
360,BK-M68B-42,"Mountain-200 Black, 42",Mountain-200,Mountain Bikes,Bikes,1105.81,2049.1
321,BK-R50R-58,"Road-650 Red, 58",Road-650,Road Bikes,Bikes,486.71,782.99
343,BK-R50B-52,"Road-650 Black, 52",Road-650,Road Bikes,Bikes,486.71,782.99
383,BK-R64Y-40,"Road-550-W Yellow, 40",Road-550-W,Road Bikes,Bikes,605.65,1000.44
333,BK-R50B-58,"Road-650 Black, 58",Road-650,Road Bikes,Bikes,486.71,782.99
339,BK-R50B-44,"Road-650 Black, 44",Road-650,Road Bikes,Bikes,486.71,782.99
323,BK-R50R-60,"Road-650 Red, 60",Road-650,Road Bikes,Bikes,486.71,782.99
335,BK-R50B-60,"Road-650 Black, 60",Road-650,Road Bikes,Bikes,486.71,782.99
341,BK-R50B-48,"Road-650 Black, 48",Road-650,Road Bikes,Bikes,486.71,782.99
389,BK-R64Y-48,"Road-550-W Yellow, 48",Road-550-W,Road Bikes,Bikes,605.65,1000.44
327,BK-R50R-44,"Road-650 Red, 44",Road-650,Road Bikes,Bikes,486.71,782.99
380,BK-R89B-58,"Road-250 Black, 58",Road-250,Road Bikes,Bikes,1554.95,2443.35
479,BC-R205,Road Bottle Cage,Road Bottle Cage,Bottles and Cages,Accessories,3.36,8.99
577,BK-T44U-46,"Touring-2000 Blue, 46",Touring-2000,Touring Bikes,Bikes,755.15,1214.85
217,HL-U509,"Sport-100 Helmet, Black",Sport-100,Helmets,Accessories,13.09,34.99
353,BK-M68S-38,"Mountain-200 Silver, 38",Mountain-200,Mountain Bikes,Bikes,1265.62,2319.99
478,BC-M005,Mountain Bottle Cage,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,9.99
477,WB-H098,Water Bottle - 30 oz.,Water Bottle,Bottles and Cages,Accessories,1.87,4.99
378,BK-R89B-52,"Road-250 Black, 52",Road-250,Road Bikes,Bikes,1554.95,2443.35
540,TI-R982,HL Road Tire,HL Road Tire,Tires and Tubes,Accessories,12.19,32.6
529,TT-R982,Road Tire Tube,Road Tire Tube,Tires and Tubes,Accessories,1.49,3.99
486,ST-1401,All-Purpose Bike Stand,All-Purpose Bike Stand,Bike Stands,Accessories,59.47,159
374,BK-R89B-44,"Road-250 Black, 44",Road-250,Road Bikes,Bikes,1554.95,2443.35
214,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,Helmets,Accessories,13.09,34.99
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.49,49.99
372,BK-R89R-58,"Road-250 Red, 58",Road-250,Road Bikes,Bikes,1554.95,2443.35
581,BK-R79Y-42,"Road-350-W Yellow, 42",Road-350-W,Road Bikes,Bikes,1082.51,1700.99
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.49,49.99
537,TI-M823,HL Mountain Tire,HL Mountain Tire,Tires and Tubes,Accessories,13.09,35
528,TT-M928,Mountain Tire Tube,Mountain Tire Tube,Tires and Tubes,Accessories,1.87,4.99
222,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,Helmets,Accessories,13.09,34.99
571,BK-T18Y-58,"Touring-3000 Yellow, 58",Touring-3000,Touring Bikes,Bikes,461.44,742.35
541,TI-T723,Touring Tire,Touring Tire,Tires and Tubes,Accessories,10.84,28.99
530,TT-T092,Touring Tire Tube,Touring Tire Tube,Tires and Tubes,Accessories,1.87,4.99
573,BK-T79U-46,"Touring-1000 Blue, 46",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
606,BK-R19B-52,"Road-750 Black, 52",Road-750,Road Bikes,Bikes,343.65,539.99
538,TI-R092,LL Road Tire,LL Road Tire,Tires and Tubes,Accessories,8.04,21.49
376,BK-R89B-48,"Road-250 Black, 48",Road-250,Road Bikes,Bikes,1554.95,2443.35
467,GL-H102-L,"Half-Finger Gloves, L",Half-Finger Gloves,Gloves,Clothing,9.16,24.49
580,BK-R79Y-40,"Road-350-W Yellow, 40",Road-350-W,Road Bikes,Bikes,1082.51,1700.99
539,TI-R628,ML Road Tire,ML Road Tire,Tires and Tubes,Accessories,9.35,24.99
363,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Mountain Bikes,Bikes,1251.98,2294.99
485,FE-6654,Fender Set - Mountain,Fender Set - Mountain,Fenders,Accessories,8.22,21.98
588,BK-M38S-40,"Mountain-400-W Silver, 40",Mountain-400-W,Mountain Bikes,Bikes,419.78,769.49
536,TI-M602,ML Mountain Tire,ML Mountain Tire,Tires and Tubes,Accessories,11.22,29.99
604,BK-R19B-44,"Road-750 Black, 44",Road-750,Road Bikes,Bikes,343.65,539.99
225,CA-1098,AWC Logo Cap,Cycling Cap,Caps,Clothing,6.92,8.99
357,BK-M68S-46,"Mountain-200 Silver, 46",Mountain-200,Mountain Bikes,Bikes,1265.62,2319.99
390,BK-R64Y-48,"Road-550-W Yellow, 48",Road-550-W,Road Bikes,Bikes,713.08,1120.49
578,BK-T44U-50,"Touring-2000 Blue, 50",Touring-2000,Touring Bikes,Bikes,755.15,1214.85
489,SJ-0194-M,"Short-Sleeve Classic Jersey, M",Short-Sleeve Classic Jersey,Jerseys,Clothing,41.57,53.99
355,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Mountain Bikes,Bikes,1265.62,2319.99
361,BK-M68B-42,"Mountain-200 Black, 42",Mountain-200,Mountain Bikes,Bikes,1251.98,2294.99
593,BK-M18S-44,"Mountain-500 Silver, 44",Mountain-500,Mountain Bikes,Bikes,308.22,564.99
465,GL-H102-M,"Half-Finger Gloves, M",Half-Finger Gloves,Gloves,Clothing,9.16,24.49
565,BK-T18U-54,"Touring-3000 Blue, 54",Touring-3000,Touring Bikes,Bikes,461.44,742.35
482,SO-R809-L,"Racing Socks, L",Racing Socks,Socks,Clothing,3.36,8.99
384,BK-R64Y-40,"Road-550-W Yellow, 40",Road-550-W,Road Bikes,Bikes,713.08,1120.49
488,SJ-0194-S,"Short-Sleeve Classic Jersey, S",Short-Sleeve Classic Jersey,Jerseys,Clothing,41.57,53.99
576,BK-T79U-60,"Touring-1000 Blue, 60",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
584,BK-R19B-58,"Road-750 Black, 58",Road-750,Road Bikes,Bikes,343.65,539.99
480,PK-7098,Patch Kit/8 Patches,Patch kit,Tires and Tubes,Accessories,0.86,2.29
596,BK-M18B-40,"Mountain-500 Black, 40",Mountain-500,Mountain Bikes,Bikes,294.58,539.99
560,BK-T44U-60,"Touring-2000 Blue, 60",Touring-2000,Touring Bikes,Bikes,755.15,1214.85
463,GL-H102-S,"Half-Finger Gloves, S",Half-Finger Gloves,Gloves,Clothing,9.16,24.49
490,SJ-0194-L,"Short-Sleeve Classic Jersey, L",Short-Sleeve Classic Jersey,Jerseys,Clothing,41.57,53.99
605,BK-R19B-48,"Road-750 Black, 48",Road-750,Road Bikes,Bikes,343.65,539.99
487,HY-1023-70,Hydration Pack - 70 oz.,Hydration Pack,Hydration Packs,Accessories,20.57,54.99
359,BK-M68B-38,"Mountain-200 Black, 38",Mountain-200,Mountain Bikes,Bikes,1251.98,2294.99
583,BK-R79Y-48,"Road-350-W Yellow, 48",Road-350-W,Road Bikes,Bikes,1082.51,1700.99
562,BK-T79Y-50,"Touring-1000 Yellow, 50",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
388,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,Road Bikes,Bikes,713.08,1120.49
471,VE-C304-S,"Classic Vest, S",Classic Vest,Vests,Clothing,23.75,63.5
574,BK-T79U-50,"Touring-1000 Blue, 50",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
592,BK-M18S-42,"Mountain-500 Silver, 42",Mountain-500,Mountain Bikes,Bikes,308.22,564.99
535,TI-M267,LL Mountain Tire,LL Mountain Tire,Tires and Tubes,Accessories,9.35,24.99
484,CL-9009,Bike Wash - Dissolver,Bike Wash,Cleaners,Accessories,2.97,7.95
386,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,Road Bikes,Bikes,713.08,1120.49
382,BK-R64Y-38,"Road-550-W Yellow, 38",Road-550-W,Road Bikes,Bikes,713.08,1120.49
575,BK-T79U-54,"Touring-1000 Blue, 54",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
491,SJ-0194-X,"Short-Sleeve Classic Jersey, XL",Short-Sleeve Classic Jersey,Jerseys,Clothing,41.57,53.99
473,VE-C304-L,"Classic Vest, L",Classic Vest,Vests,Clothing,23.75,63.5
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.49,49.99
564,BK-T79Y-60,"Touring-1000 Yellow, 60",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
582,BK-R79Y-44,"Road-350-W Yellow, 44",Road-350-W,Road Bikes,Bikes,1082.51,1700.99
472,VE-C304-M,"Classic Vest, M",Classic Vest,Vests,Clothing,23.75,63.5
569,BK-T18Y-50,"Touring-3000 Yellow, 50",Touring-3000,Touring Bikes,Bikes,461.44,742.35
591,BK-M18S-40,"Mountain-500 Silver, 40",Mountain-500,Mountain Bikes,Bikes,308.22,564.99
587,BK-M38S-38,"Mountain-400-W Silver, 38",Mountain-400-W,Mountain Bikes,Bikes,419.78,769.49
598,BK-M18B-44,"Mountain-500 Black, 44",Mountain-500,Mountain Bikes,Bikes,294.58,539.99
599,BK-M18B-48,"Mountain-500 Black, 48",Mountain-500,Mountain Bikes,Bikes,294.58,539.99
561,BK-T79Y-46,"Touring-1000 Yellow, 46",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
589,BK-M38S-42,"Mountain-400-W Silver, 42",Mountain-400-W,Mountain Bikes,Bikes,419.78,769.49
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Jerseys,Clothing,38.49,49.99
481,SO-R809-M,"Racing Socks, M",Racing Socks,Socks,Clothing,3.36,8.99
579,BK-T44U-54,"Touring-2000 Blue, 54",Touring-2000,Touring Bikes,Bikes,755.15,1214.85
590,BK-M38S-46,"Mountain-400-W Silver, 46",Mountain-400-W,Mountain Bikes,Bikes,419.78,769.49
597,BK-M18B-42,"Mountain-500 Black, 42",Mountain-500,Mountain Bikes,Bikes,294.58,539.99
483,RA-H123,Hitch Rack - 4-Bike,Hitch Rack - 4-Bike,Bike Racks,Accessories,44.88,120
586,BK-T18U-50,"Touring-3000 Blue, 50",Touring-3000,Touring Bikes,Bikes,461.44,742.35
475,SH-W890-M,"Women's Mountain Shorts, M",Women's Mountain Shorts,Shorts,Clothing,26.18,69.99
566,BK-T18U-58,"Touring-3000 Blue, 58",Touring-3000,Touring Bikes,Bikes,461.44,742.35
600,BK-M18B-52,"Mountain-500 Black, 52",Mountain-500,Mountain Bikes,Bikes,294.58,539.99
476,SH-W890-L,"Women's Mountain Shorts, L",Women's Mountain Shorts,Shorts,Clothing,26.18,69.99
585,BK-T18U-44,"Touring-3000 Blue, 44",Touring-3000,Touring Bikes,Bikes,461.44,742.35
594,BK-M18S-48,"Mountain-500 Silver, 48",Mountain-500,Mountain Bikes,Bikes,308.22,564.99
595,BK-M18S-52,"Mountain-500 Silver, 52",Mountain-500,Mountain Bikes,Bikes,308.22,564.99
474,SH-W890-S,"Women's Mountain Shorts, S",Women's Mountain Shorts,Shorts,Clothing,26.18,69.99
572,BK-T18Y-62,"Touring-3000 Yellow, 62",Touring-3000,Touring Bikes,Bikes,461.44,742.35
563,BK-T79Y-54,"Touring-1000 Yellow, 54",Touring-1000,Touring Bikes,Bikes,1481.94,2384.07
570,BK-T18Y-54,"Touring-3000 Yellow, 54",Touring-3000,Touring Bikes,Bikes,461.44,742.35
568,BK-T18Y-44,"Touring-3000 Yellow, 44",Touring-3000,Touring Bikes,Bikes,461.44,742.35
567,BK-T18U-62,"Touring-3000 Blue, 62",Touring-3000,Touring Bikes,Bikes,461.44,742.35
